"listTableLink","listTableLink href","alignLeft","alignLeft 2","listTableLink href 2"
"Omar Akbari","https://researcherprofiles.org/profile/174443","Cell and Developmental Biology","Professor","https://profiles.ucsd.edu/search/default.aspx?searchtype=whypeople&nodeuri=https://researcherprofiles.org/profile/174443&searchfor=bio&exactphrase=false&perpage=100&offset=0&page=1&totalpages=22&searchrequest=A81BSfTwU3GNm4liSODkW6vB3EBYO6gz+a5TY1bFhuysXK4hqbI6eAebHoNTzab0+VLZJkUtJQgUbNpxv1/CKcVZ1gI6eTVotLeZakbJ+bL71WuIW2sOOieCSIGJyCqvT0iAMDJbJPd0j1+Plr1Tj/w6KBXnX6iC8uC2WTPYJKul2kaTLifnXDe211JWtglcKzKnmK1XNvBnKZGlH3KIswGZmmz2fuILma0Szu5A2+VJFa1Y7IlZssD9KUojaMxNJtMKc1oBsNQpX8xhQftEDeidlZHxr5KVoMsgtAM02YZ1s82zRvlZnPrjbJIyII8hLC74/q7o21GHy+5HvCX34E3WjJFbHriEsycv3nxOmvRy5KgcgJnHpHgxBTIO9PGer8qRnp1Z/yzJADpQ6jchvi77lcnGUA0SU83av2TqSmcE9qoCv8JbH5UzPnVNwLJxD+L29dQhWg9pF2jOOFZEaTF7nhB4Tu91TJhwiywSpwj17y+CSgdSf16W9E7HACQl0hzytT3pYjHdJryeU0bZyYtopUHTRRMqdadfwQ8JzoXJZDwvhWf0V1T1VqySKuRdasiPtLMUBKyK327yd2AJ1O8RXju4uCs+nJmnV2Ve/a9bgH0GhtpClbsYs24T0OP+6AsZV2L1ghCieYtksHIivTQcOWmV0ZPf/7IZKmnPOzXhCpKOYJD2lmfGEqFaf5LVlYZikhKLWgnSrT6Ay9Qnv2jvmF2HFOig+w5c9KRC2gQCtmrIcuMk+Q2jK1JS+SB9bSU6OWR6KdiILA5IJH6KvQWbPY/XBgX+Hk2w/aIiEEiSPL2qnX6ciUDcfof+wDlLilx0vwI8batftYSjMAtTSS4IMooYIuw7ogg4Lyw/5y6PfgpD/ZWT6OM7n7FnWErTtn8+wsdawlIgm5UyEYoawZ6fZp1mLPZZStwJuubwe/Uu+5XJxlANElPN2r9k6kpnBPaqAr/CWx+VMz51TcCycROZ86NGxUwMfKjkJPqWRjlMmHCLLBKnCPGW5H/akQuzggDWbYUze3Ou8zsogobUQFhfG6cXh0x95uitcJWeBrUs2mVskN3OPmaPl6OmsHBC0gtuPQeP25/uSJDsngUVX+54rvpcuJ29q8HcQFg7qDMNYIm1pJmJSJWzDHy2nw9vj8xM431+0iDTveyvnU53a07y5KSyXTxYqbxI5hZVDM2hRC2ZyUO9EysRaC2fJJ8Un9/DGp5WdSOeqpKV+Tcae6K4z0gShtr7F9bb7Orz+FaaNrG+Mqv3R856K+e9YVJ0XPcaO81u238=&sortby=&sortdirection=&showcolumns=10"
"Karen Christman","https://researcherprofiles.org/profile/192206","Bioengineering","Professor","https://profiles.ucsd.edu/search/default.aspx?searchtype=whypeople&nodeuri=https://researcherprofiles.org/profile/192206&searchfor=bio&exactphrase=false&perpage=100&offset=0&page=1&totalpages=22&searchrequest=A81BSfTwU3GNm4liSODkW6vB3EBYO6gz+a5TY1bFhuysXK4hqbI6eAebHoNTzab0+VLZJkUtJQgUbNpxv1/CKcVZ1gI6eTVotLeZakbJ+bL71WuIW2sOOieCSIGJyCqvT0iAMDJbJPd0j1+Plr1Tj/w6KBXnX6iC8uC2WTPYJKul2kaTLifnXDe211JWtglcKzKnmK1XNvBnKZGlH3KIswGZmmz2fuILma0Szu5A2+VJFa1Y7IlZssD9KUojaMxNJtMKc1oBsNQpX8xhQftEDeidlZHxr5KVoMsgtAM02YZ1s82zRvlZnPrjbJIyII8hLC74/q7o21GHy+5HvCX34E3WjJFbHriEsycv3nxOmvRy5KgcgJnHpHgxBTIO9PGer8qRnp1Z/yzJADpQ6jchvi77lcnGUA0SU83av2TqSmcE9qoCv8JbH5UzPnVNwLJxD+L29dQhWg9pF2jOOFZEaTF7nhB4Tu91TJhwiywSpwj17y+CSgdSf16W9E7HACQl0hzytT3pYjHdJryeU0bZyYtopUHTRRMqdadfwQ8JzoXJZDwvhWf0V1T1VqySKuRdasiPtLMUBKyK327yd2AJ1O8RXju4uCs+nJmnV2Ve/a9bgH0GhtpClbsYs24T0OP+6AsZV2L1ghCieYtksHIivTQcOWmV0ZPf/7IZKmnPOzXhCpKOYJD2lmfGEqFaf5LVlYZikhKLWgnSrT6Ay9Qnv2jvmF2HFOig+w5c9KRC2gQCtmrIcuMk+Q2jK1JS+SB9bSU6OWR6KdiILA5IJH6KvQWbPY/XBgX+Hk2w/aIiEEiSPL2qnX6ciUDcfof+wDlLilx0vwI8batftYSjMAtTSS4IMooYIuw7ogg4Lyw/5y6PfgpD/ZWT6OM7n7FnWErTtn8+wsdawlIgm5UyEYoawZ6fZp1mLPZZStwJuubwe/Uu+5XJxlANElPN2r9k6kpnBPaqAr/CWx+VMz51TcCycROZ86NGxUwMfKjkJPqWRjlMmHCLLBKnCPGW5H/akQuzggDWbYUze3Ou8zsogobUQFhfG6cXh0x95uitcJWeBrUs2mVskN3OPmaPl6OmsHBC0gtuPQeP25/uSJDsngUVX+54rvpcuJ29q8HcQFg7qDMNYIm1pJmJSJWzDHy2nw9vj8xM431+0iDTveyvnU53a07y5KSyXTxYqbxI5hZVDM2hRC2ZyUO9EysRaC2fJJ8Un9/DGp5WdSOeqpKV+Tcae6K4z0gShtr7F9bb7Orz+FaaNrG+Mqv3R856K+e9YVJ0XPcaO81u238=&sortby=&sortdirection=&showcolumns=10"
"Philip Bourne","https://researcherprofiles.org/profile/196975","School of Pharmacy and Pharmaceutical Science","Professor","https://profiles.ucsd.edu/search/default.aspx?searchtype=whypeople&nodeuri=https://researcherprofiles.org/profile/196975&searchfor=bio&exactphrase=false&perpage=100&offset=0&page=1&totalpages=22&searchrequest=A81BSfTwU3GNm4liSODkW6vB3EBYO6gz+a5TY1bFhuysXK4hqbI6eAebHoNTzab0+VLZJkUtJQgUbNpxv1/CKcVZ1gI6eTVotLeZakbJ+bL71WuIW2sOOieCSIGJyCqvT0iAMDJbJPd0j1+Plr1Tj/w6KBXnX6iC8uC2WTPYJKul2kaTLifnXDe211JWtglcKzKnmK1XNvBnKZGlH3KIswGZmmz2fuILma0Szu5A2+VJFa1Y7IlZssD9KUojaMxNJtMKc1oBsNQpX8xhQftEDeidlZHxr5KVoMsgtAM02YZ1s82zRvlZnPrjbJIyII8hLC74/q7o21GHy+5HvCX34E3WjJFbHriEsycv3nxOmvRy5KgcgJnHpHgxBTIO9PGer8qRnp1Z/yzJADpQ6jchvi77lcnGUA0SU83av2TqSmcE9qoCv8JbH5UzPnVNwLJxD+L29dQhWg9pF2jOOFZEaTF7nhB4Tu91TJhwiywSpwj17y+CSgdSf16W9E7HACQl0hzytT3pYjHdJryeU0bZyYtopUHTRRMqdadfwQ8JzoXJZDwvhWf0V1T1VqySKuRdasiPtLMUBKyK327yd2AJ1O8RXju4uCs+nJmnV2Ve/a9bgH0GhtpClbsYs24T0OP+6AsZV2L1ghCieYtksHIivTQcOWmV0ZPf/7IZKmnPOzXhCpKOYJD2lmfGEqFaf5LVlYZikhKLWgnSrT6Ay9Qnv2jvmF2HFOig+w5c9KRC2gQCtmrIcuMk+Q2jK1JS+SB9bSU6OWR6KdiILA5IJH6KvQWbPY/XBgX+Hk2w/aIiEEiSPL2qnX6ciUDcfof+wDlLilx0vwI8batftYSjMAtTSS4IMooYIuw7ogg4Lyw/5y6PfgpD/ZWT6OM7n7FnWErTtn8+wsdawlIgm5UyEYoawZ6fZp1mLPZZStwJuubwe/Uu+5XJxlANElPN2r9k6kpnBPaqAr/CWx+VMz51TcCycROZ86NGxUwMfKjkJPqWRjlMmHCLLBKnCPGW5H/akQuzggDWbYUze3Ou8zsogobUQFhfG6cXh0x95uitcJWeBrUs2mVskN3OPmaPl6OmsHBC0gtuPQeP25/uSJDsngUVX+54rvpcuJ29q8HcQFg7qDMNYIm1pJmJSJWzDHy2nw9vj8xM431+0iDTveyvnU53a07y5KSyXTxYqbxI5hZVDM2hRC2ZyUO9EysRaC2fJJ8Un9/DGp5WdSOeqpKV+Tcae6K4z0gShtr7F9bb7Orz+FaaNrG+Mqv3R856K+e9YVJ0XPcaO81u238=&sortby=&sortdirection=&showcolumns=10"
"Stephen Mayfield","https://researcherprofiles.org/profile/180775","Molecular Biology","Professor","https://profiles.ucsd.edu/search/default.aspx?searchtype=whypeople&nodeuri=https://researcherprofiles.org/profile/180775&searchfor=bio&exactphrase=false&perpage=100&offset=0&page=1&totalpages=22&searchrequest=A81BSfTwU3GNm4liSODkW6vB3EBYO6gz+a5TY1bFhuysXK4hqbI6eAebHoNTzab0+VLZJkUtJQgUbNpxv1/CKcVZ1gI6eTVotLeZakbJ+bL71WuIW2sOOieCSIGJyCqvT0iAMDJbJPd0j1+Plr1Tj/w6KBXnX6iC8uC2WTPYJKul2kaTLifnXDe211JWtglcKzKnmK1XNvBnKZGlH3KIswGZmmz2fuILma0Szu5A2+VJFa1Y7IlZssD9KUojaMxNJtMKc1oBsNQpX8xhQftEDeidlZHxr5KVoMsgtAM02YZ1s82zRvlZnPrjbJIyII8hLC74/q7o21GHy+5HvCX34E3WjJFbHriEsycv3nxOmvRy5KgcgJnHpHgxBTIO9PGer8qRnp1Z/yzJADpQ6jchvi77lcnGUA0SU83av2TqSmcE9qoCv8JbH5UzPnVNwLJxD+L29dQhWg9pF2jOOFZEaTF7nhB4Tu91TJhwiywSpwj17y+CSgdSf16W9E7HACQl0hzytT3pYjHdJryeU0bZyYtopUHTRRMqdadfwQ8JzoXJZDwvhWf0V1T1VqySKuRdasiPtLMUBKyK327yd2AJ1O8RXju4uCs+nJmnV2Ve/a9bgH0GhtpClbsYs24T0OP+6AsZV2L1ghCieYtksHIivTQcOWmV0ZPf/7IZKmnPOzXhCpKOYJD2lmfGEqFaf5LVlYZikhKLWgnSrT6Ay9Qnv2jvmF2HFOig+w5c9KRC2gQCtmrIcuMk+Q2jK1JS+SB9bSU6OWR6KdiILA5IJH6KvQWbPY/XBgX+Hk2w/aIiEEiSPL2qnX6ciUDcfof+wDlLilx0vwI8batftYSjMAtTSS4IMooYIuw7ogg4Lyw/5y6PfgpD/ZWT6OM7n7FnWErTtn8+wsdawlIgm5UyEYoawZ6fZp1mLPZZStwJuubwe/Uu+5XJxlANElPN2r9k6kpnBPaqAr/CWx+VMz51TcCycROZ86NGxUwMfKjkJPqWRjlMmHCLLBKnCPGW5H/akQuzggDWbYUze3Ou8zsogobUQFhfG6cXh0x95uitcJWeBrUs2mVskN3OPmaPl6OmsHBC0gtuPQeP25/uSJDsngUVX+54rvpcuJ29q8HcQFg7qDMNYIm1pJmJSJWzDHy2nw9vj8xM431+0iDTveyvnU53a07y5KSyXTxYqbxI5hZVDM2hRC2ZyUO9EysRaC2fJJ8Un9/DGp5WdSOeqpKV+Tcae6K4z0gShtr7F9bb7Orz+FaaNrG+Mqv3R856K+e9YVJ0XPcaO81u238=&sortby=&sortdirection=&showcolumns=10"
"Karen Messer","https://researcherprofiles.org/profile/194831","Herbert Wertheim School of Public Health & Human Longevity Science","Professor","https://profiles.ucsd.edu/search/default.aspx?searchtype=whypeople&nodeuri=https://researcherprofiles.org/profile/194831&searchfor=bio&exactphrase=false&perpage=100&offset=0&page=1&totalpages=22&searchrequest=A81BSfTwU3GNm4liSODkW6vB3EBYO6gz+a5TY1bFhuysXK4hqbI6eAebHoNTzab0+VLZJkUtJQgUbNpxv1/CKcVZ1gI6eTVotLeZakbJ+bL71WuIW2sOOieCSIGJyCqvT0iAMDJbJPd0j1+Plr1Tj/w6KBXnX6iC8uC2WTPYJKul2kaTLifnXDe211JWtglcKzKnmK1XNvBnKZGlH3KIswGZmmz2fuILma0Szu5A2+VJFa1Y7IlZssD9KUojaMxNJtMKc1oBsNQpX8xhQftEDeidlZHxr5KVoMsgtAM02YZ1s82zRvlZnPrjbJIyII8hLC74/q7o21GHy+5HvCX34E3WjJFbHriEsycv3nxOmvRy5KgcgJnHpHgxBTIO9PGer8qRnp1Z/yzJADpQ6jchvi77lcnGUA0SU83av2TqSmcE9qoCv8JbH5UzPnVNwLJxD+L29dQhWg9pF2jOOFZEaTF7nhB4Tu91TJhwiywSpwj17y+CSgdSf16W9E7HACQl0hzytT3pYjHdJryeU0bZyYtopUHTRRMqdadfwQ8JzoXJZDwvhWf0V1T1VqySKuRdasiPtLMUBKyK327yd2AJ1O8RXju4uCs+nJmnV2Ve/a9bgH0GhtpClbsYs24T0OP+6AsZV2L1ghCieYtksHIivTQcOWmV0ZPf/7IZKmnPOzXhCpKOYJD2lmfGEqFaf5LVlYZikhKLWgnSrT6Ay9Qnv2jvmF2HFOig+w5c9KRC2gQCtmrIcuMk+Q2jK1JS+SB9bSU6OWR6KdiILA5IJH6KvQWbPY/XBgX+Hk2w/aIiEEiSPL2qnX6ciUDcfof+wDlLilx0vwI8batftYSjMAtTSS4IMooYIuw7ogg4Lyw/5y6PfgpD/ZWT6OM7n7FnWErTtn8+wsdawlIgm5UyEYoawZ6fZp1mLPZZStwJuubwe/Uu+5XJxlANElPN2r9k6kpnBPaqAr/CWx+VMz51TcCycROZ86NGxUwMfKjkJPqWRjlMmHCLLBKnCPGW5H/akQuzggDWbYUze3Ou8zsogobUQFhfG6cXh0x95uitcJWeBrUs2mVskN3OPmaPl6OmsHBC0gtuPQeP25/uSJDsngUVX+54rvpcuJ29q8HcQFg7qDMNYIm1pJmJSJWzDHy2nw9vj8xM431+0iDTveyvnU53a07y5KSyXTxYqbxI5hZVDM2hRC2ZyUO9EysRaC2fJJ8Un9/DGp5WdSOeqpKV+Tcae6K4z0gShtr7F9bb7Orz+FaaNrG+Mqv3R856K+e9YVJ0XPcaO81u238=&sortby=&sortdirection=&showcolumns=10"
"Pieter Dorrestein","https://researcherprofiles.org/profile/178263","School of Pharmacy and Pharmaceutical Science","Professor","https://profiles.ucsd.edu/search/default.aspx?searchtype=whypeople&nodeuri=https://researcherprofiles.org/profile/178263&searchfor=bio&exactphrase=false&perpage=100&offset=0&page=1&totalpages=22&searchrequest=A81BSfTwU3GNm4liSODkW6vB3EBYO6gz+a5TY1bFhuysXK4hqbI6eAebHoNTzab0+VLZJkUtJQgUbNpxv1/CKcVZ1gI6eTVotLeZakbJ+bL71WuIW2sOOieCSIGJyCqvT0iAMDJbJPd0j1+Plr1Tj/w6KBXnX6iC8uC2WTPYJKul2kaTLifnXDe211JWtglcKzKnmK1XNvBnKZGlH3KIswGZmmz2fuILma0Szu5A2+VJFa1Y7IlZssD9KUojaMxNJtMKc1oBsNQpX8xhQftEDeidlZHxr5KVoMsgtAM02YZ1s82zRvlZnPrjbJIyII8hLC74/q7o21GHy+5HvCX34E3WjJFbHriEsycv3nxOmvRy5KgcgJnHpHgxBTIO9PGer8qRnp1Z/yzJADpQ6jchvi77lcnGUA0SU83av2TqSmcE9qoCv8JbH5UzPnVNwLJxD+L29dQhWg9pF2jOOFZEaTF7nhB4Tu91TJhwiywSpwj17y+CSgdSf16W9E7HACQl0hzytT3pYjHdJryeU0bZyYtopUHTRRMqdadfwQ8JzoXJZDwvhWf0V1T1VqySKuRdasiPtLMUBKyK327yd2AJ1O8RXju4uCs+nJmnV2Ve/a9bgH0GhtpClbsYs24T0OP+6AsZV2L1ghCieYtksHIivTQcOWmV0ZPf/7IZKmnPOzXhCpKOYJD2lmfGEqFaf5LVlYZikhKLWgnSrT6Ay9Qnv2jvmF2HFOig+w5c9KRC2gQCtmrIcuMk+Q2jK1JS+SB9bSU6OWR6KdiILA5IJH6KvQWbPY/XBgX+Hk2w/aIiEEiSPL2qnX6ciUDcfof+wDlLilx0vwI8batftYSjMAtTSS4IMooYIuw7ogg4Lyw/5y6PfgpD/ZWT6OM7n7FnWErTtn8+wsdawlIgm5UyEYoawZ6fZp1mLPZZStwJuubwe/Uu+5XJxlANElPN2r9k6kpnBPaqAr/CWx+VMz51TcCycROZ86NGxUwMfKjkJPqWRjlMmHCLLBKnCPGW5H/akQuzggDWbYUze3Ou8zsogobUQFhfG6cXh0x95uitcJWeBrUs2mVskN3OPmaPl6OmsHBC0gtuPQeP25/uSJDsngUVX+54rvpcuJ29q8HcQFg7qDMNYIm1pJmJSJWzDHy2nw9vj8xM431+0iDTveyvnU53a07y5KSyXTxYqbxI5hZVDM2hRC2ZyUO9EysRaC2fJJ8Un9/DGp5WdSOeqpKV+Tcae6K4z0gShtr7F9bb7Orz+FaaNrG+Mqv3R856K+e9YVJ0XPcaO81u238=&sortby=&sortdirection=&showcolumns=10"
"Pavel Pevzner","https://researcherprofiles.org/profile/184764","Computer Science and Engineering","Professor","https://profiles.ucsd.edu/search/default.aspx?searchtype=whypeople&nodeuri=https://researcherprofiles.org/profile/184764&searchfor=bio&exactphrase=false&perpage=100&offset=0&page=1&totalpages=22&searchrequest=A81BSfTwU3GNm4liSODkW6vB3EBYO6gz+a5TY1bFhuysXK4hqbI6eAebHoNTzab0+VLZJkUtJQgUbNpxv1/CKcVZ1gI6eTVotLeZakbJ+bL71WuIW2sOOieCSIGJyCqvT0iAMDJbJPd0j1+Plr1Tj/w6KBXnX6iC8uC2WTPYJKul2kaTLifnXDe211JWtglcKzKnmK1XNvBnKZGlH3KIswGZmmz2fuILma0Szu5A2+VJFa1Y7IlZssD9KUojaMxNJtMKc1oBsNQpX8xhQftEDeidlZHxr5KVoMsgtAM02YZ1s82zRvlZnPrjbJIyII8hLC74/q7o21GHy+5HvCX34E3WjJFbHriEsycv3nxOmvRy5KgcgJnHpHgxBTIO9PGer8qRnp1Z/yzJADpQ6jchvi77lcnGUA0SU83av2TqSmcE9qoCv8JbH5UzPnVNwLJxD+L29dQhWg9pF2jOOFZEaTF7nhB4Tu91TJhwiywSpwj17y+CSgdSf16W9E7HACQl0hzytT3pYjHdJryeU0bZyYtopUHTRRMqdadfwQ8JzoXJZDwvhWf0V1T1VqySKuRdasiPtLMUBKyK327yd2AJ1O8RXju4uCs+nJmnV2Ve/a9bgH0GhtpClbsYs24T0OP+6AsZV2L1ghCieYtksHIivTQcOWmV0ZPf/7IZKmnPOzXhCpKOYJD2lmfGEqFaf5LVlYZikhKLWgnSrT6Ay9Qnv2jvmF2HFOig+w5c9KRC2gQCtmrIcuMk+Q2jK1JS+SB9bSU6OWR6KdiILA5IJH6KvQWbPY/XBgX+Hk2w/aIiEEiSPL2qnX6ciUDcfof+wDlLilx0vwI8batftYSjMAtTSS4IMooYIuw7ogg4Lyw/5y6PfgpD/ZWT6OM7n7FnWErTtn8+wsdawlIgm5UyEYoawZ6fZp1mLPZZStwJuubwe/Uu+5XJxlANElPN2r9k6kpnBPaqAr/CWx+VMz51TcCycROZ86NGxUwMfKjkJPqWRjlMmHCLLBKnCPGW5H/akQuzggDWbYUze3Ou8zsogobUQFhfG6cXh0x95uitcJWeBrUs2mVskN3OPmaPl6OmsHBC0gtuPQeP25/uSJDsngUVX+54rvpcuJ29q8HcQFg7qDMNYIm1pJmJSJWzDHy2nw9vj8xM431+0iDTveyvnU53a07y5KSyXTxYqbxI5hZVDM2hRC2ZyUO9EysRaC2fJJ8Un9/DGp5WdSOeqpKV+Tcae6K4z0gShtr7F9bb7Orz+FaaNrG+Mqv3R856K+e9YVJ0XPcaO81u238=&sortby=&sortdirection=&showcolumns=10"
"Nathan Shaner","https://researcherprofiles.org/profile/60235788","Neurosciences","Associate Professor","https://profiles.ucsd.edu/search/default.aspx?searchtype=whypeople&nodeuri=https://researcherprofiles.org/profile/60235788&searchfor=bio&exactphrase=false&perpage=100&offset=0&page=1&totalpages=22&searchrequest=A81BSfTwU3GNm4liSODkW6vB3EBYO6gz+a5TY1bFhuysXK4hqbI6eAebHoNTzab0+VLZJkUtJQgUbNpxv1/CKcVZ1gI6eTVotLeZakbJ+bL71WuIW2sOOieCSIGJyCqvT0iAMDJbJPd0j1+Plr1Tj/w6KBXnX6iC8uC2WTPYJKul2kaTLifnXDe211JWtglcKzKnmK1XNvBnKZGlH3KIswGZmmz2fuILma0Szu5A2+VJFa1Y7IlZssD9KUojaMxNJtMKc1oBsNQpX8xhQftEDeidlZHxr5KVoMsgtAM02YZ1s82zRvlZnPrjbJIyII8hLC74/q7o21GHy+5HvCX34E3WjJFbHriEsycv3nxOmvRy5KgcgJnHpHgxBTIO9PGer8qRnp1Z/yzJADpQ6jchvi77lcnGUA0SU83av2TqSmcE9qoCv8JbH5UzPnVNwLJxD+L29dQhWg9pF2jOOFZEaTF7nhB4Tu91TJhwiywSpwj17y+CSgdSf16W9E7HACQl0hzytT3pYjHdJryeU0bZyYtopUHTRRMqdadfwQ8JzoXJZDwvhWf0V1T1VqySKuRdasiPtLMUBKyK327yd2AJ1O8RXju4uCs+nJmnV2Ve/a9bgH0GhtpClbsYs24T0OP+6AsZV2L1ghCieYtksHIivTQcOWmV0ZPf/7IZKmnPOzXhCpKOYJD2lmfGEqFaf5LVlYZikhKLWgnSrT6Ay9Qnv2jvmF2HFOig+w5c9KRC2gQCtmrIcuMk+Q2jK1JS+SB9bSU6OWR6KdiILA5IJH6KvQWbPY/XBgX+Hk2w/aIiEEiSPL2qnX6ciUDcfof+wDlLilx0vwI8batftYSjMAtTSS4IMooYIuw7ogg4Lyw/5y6PfgpD/ZWT6OM7n7FnWErTtn8+wsdawlIgm5UyEYoawZ6fZp1mLPZZStwJuubwe/Uu+5XJxlANElPN2r9k6kpnBPaqAr/CWx+VMz51TcCycROZ86NGxUwMfKjkJPqWRjlMmHCLLBKnCPGW5H/akQuzggDWbYUze3Ou8zsogobUQFhfG6cXh0x95uitcJWeBrUs2mVskN3OPmaPl6OmsHBC0gtuPQeP25/uSJDsngUVX+54rvpcuJ29q8HcQFg7qDMNYIm1pJmJSJWzDHy2nw9vj8xM431+0iDTveyvnU53a07y5KSyXTxYqbxI5hZVDM2hRC2ZyUO9EysRaC2fJJ8Un9/DGp5WdSOeqpKV+Tcae6K4z0gShtr7F9bb7Orz+FaaNrG+Mqv3R856K+e9YVJ0XPcaO81u238=&sortby=&sortdirection=&showcolumns=10"
"Andrew Mcculloch","https://researcherprofiles.org/profile/194797","Bioengineering","Professor","https://profiles.ucsd.edu/search/default.aspx?searchtype=whypeople&nodeuri=https://researcherprofiles.org/profile/194797&searchfor=bio&exactphrase=false&perpage=100&offset=0&page=1&totalpages=22&searchrequest=A81BSfTwU3GNm4liSODkW6vB3EBYO6gz+a5TY1bFhuysXK4hqbI6eAebHoNTzab0+VLZJkUtJQgUbNpxv1/CKcVZ1gI6eTVotLeZakbJ+bL71WuIW2sOOieCSIGJyCqvT0iAMDJbJPd0j1+Plr1Tj/w6KBXnX6iC8uC2WTPYJKul2kaTLifnXDe211JWtglcKzKnmK1XNvBnKZGlH3KIswGZmmz2fuILma0Szu5A2+VJFa1Y7IlZssD9KUojaMxNJtMKc1oBsNQpX8xhQftEDeidlZHxr5KVoMsgtAM02YZ1s82zRvlZnPrjbJIyII8hLC74/q7o21GHy+5HvCX34E3WjJFbHriEsycv3nxOmvRy5KgcgJnHpHgxBTIO9PGer8qRnp1Z/yzJADpQ6jchvi77lcnGUA0SU83av2TqSmcE9qoCv8JbH5UzPnVNwLJxD+L29dQhWg9pF2jOOFZEaTF7nhB4Tu91TJhwiywSpwj17y+CSgdSf16W9E7HACQl0hzytT3pYjHdJryeU0bZyYtopUHTRRMqdadfwQ8JzoXJZDwvhWf0V1T1VqySKuRdasiPtLMUBKyK327yd2AJ1O8RXju4uCs+nJmnV2Ve/a9bgH0GhtpClbsYs24T0OP+6AsZV2L1ghCieYtksHIivTQcOWmV0ZPf/7IZKmnPOzXhCpKOYJD2lmfGEqFaf5LVlYZikhKLWgnSrT6Ay9Qnv2jvmF2HFOig+w5c9KRC2gQCtmrIcuMk+Q2jK1JS+SB9bSU6OWR6KdiILA5IJH6KvQWbPY/XBgX+Hk2w/aIiEEiSPL2qnX6ciUDcfof+wDlLilx0vwI8batftYSjMAtTSS4IMooYIuw7ogg4Lyw/5y6PfgpD/ZWT6OM7n7FnWErTtn8+wsdawlIgm5UyEYoawZ6fZp1mLPZZStwJuubwe/Uu+5XJxlANElPN2r9k6kpnBPaqAr/CWx+VMz51TcCycROZ86NGxUwMfKjkJPqWRjlMmHCLLBKnCPGW5H/akQuzggDWbYUze3Ou8zsogobUQFhfG6cXh0x95uitcJWeBrUs2mVskN3OPmaPl6OmsHBC0gtuPQeP25/uSJDsngUVX+54rvpcuJ29q8HcQFg7qDMNYIm1pJmJSJWzDHy2nw9vj8xM431+0iDTveyvnU53a07y5KSyXTxYqbxI5hZVDM2hRC2ZyUO9EysRaC2fJJ8Un9/DGp5WdSOeqpKV+Tcae6K4z0gShtr7F9bb7Orz+FaaNrG+Mqv3R856K+e9YVJ0XPcaO81u238=&sortby=&sortdirection=&showcolumns=10"
"Padmini Rangamani","https://researcherprofiles.org/profile/181235","Pharmacology","Professor","https://profiles.ucsd.edu/search/default.aspx?searchtype=whypeople&nodeuri=https://researcherprofiles.org/profile/181235&searchfor=bio&exactphrase=false&perpage=100&offset=0&page=1&totalpages=22&searchrequest=A81BSfTwU3GNm4liSODkW6vB3EBYO6gz+a5TY1bFhuysXK4hqbI6eAebHoNTzab0+VLZJkUtJQgUbNpxv1/CKcVZ1gI6eTVotLeZakbJ+bL71WuIW2sOOieCSIGJyCqvT0iAMDJbJPd0j1+Plr1Tj/w6KBXnX6iC8uC2WTPYJKul2kaTLifnXDe211JWtglcKzKnmK1XNvBnKZGlH3KIswGZmmz2fuILma0Szu5A2+VJFa1Y7IlZssD9KUojaMxNJtMKc1oBsNQpX8xhQftEDeidlZHxr5KVoMsgtAM02YZ1s82zRvlZnPrjbJIyII8hLC74/q7o21GHy+5HvCX34E3WjJFbHriEsycv3nxOmvRy5KgcgJnHpHgxBTIO9PGer8qRnp1Z/yzJADpQ6jchvi77lcnGUA0SU83av2TqSmcE9qoCv8JbH5UzPnVNwLJxD+L29dQhWg9pF2jOOFZEaTF7nhB4Tu91TJhwiywSpwj17y+CSgdSf16W9E7HACQl0hzytT3pYjHdJryeU0bZyYtopUHTRRMqdadfwQ8JzoXJZDwvhWf0V1T1VqySKuRdasiPtLMUBKyK327yd2AJ1O8RXju4uCs+nJmnV2Ve/a9bgH0GhtpClbsYs24T0OP+6AsZV2L1ghCieYtksHIivTQcOWmV0ZPf/7IZKmnPOzXhCpKOYJD2lmfGEqFaf5LVlYZikhKLWgnSrT6Ay9Qnv2jvmF2HFOig+w5c9KRC2gQCtmrIcuMk+Q2jK1JS+SB9bSU6OWR6KdiILA5IJH6KvQWbPY/XBgX+Hk2w/aIiEEiSPL2qnX6ciUDcfof+wDlLilx0vwI8batftYSjMAtTSS4IMooYIuw7ogg4Lyw/5y6PfgpD/ZWT6OM7n7FnWErTtn8+wsdawlIgm5UyEYoawZ6fZp1mLPZZStwJuubwe/Uu+5XJxlANElPN2r9k6kpnBPaqAr/CWx+VMz51TcCycROZ86NGxUwMfKjkJPqWRjlMmHCLLBKnCPGW5H/akQuzggDWbYUze3Ou8zsogobUQFhfG6cXh0x95uitcJWeBrUs2mVskN3OPmaPl6OmsHBC0gtuPQeP25/uSJDsngUVX+54rvpcuJ29q8HcQFg7qDMNYIm1pJmJSJWzDHy2nw9vj8xM431+0iDTveyvnU53a07y5KSyXTxYqbxI5hZVDM2hRC2ZyUO9EysRaC2fJJ8Un9/DGp5WdSOeqpKV+Tcae6K4z0gShtr7F9bb7Orz+FaaNrG+Mqv3R856K+e9YVJ0XPcaO81u238=&sortby=&sortdirection=&showcolumns=10"
